review_text, [],sentiment_score,cluster,pc1,pc2
Organic Turmeric Powder - Gorgeous golden color but faint aroma.,[],0.3612,1,-0.36568022,-0.08918153
"Premium Garam Masala Blend - Slightly stale, lacks punch.",[],0.0,1,0.39009902,0.4554399
"Pure Red Chilli Powder - Overly dusty, loses vibrancy after cooking.",[],-0.3182,1,-0.24215704,0.027173318
"Authentic Cumin Seeds - Slight bitterness, maybe over-roasted.",[],-0.3415,0,0.3388564,-0.4738235
"Coriander Powder - Packaging wasn’t sealed properly, lost freshness.",[],-0.3182,1,-0.14611682,-0.031665444
"Organic Turmeric Powder - Very faint flavor, color acceptable.",[],0.3182,1,-0.40379414,-0.06751454
Premium Garam Masala Blend - Too clove-heavy for my liking.,[],0.4019,1,0.40655333,0.46860707
Pure Red Chilli Powder - Flavorless and disappointing.,[],-0.4939,1,-0.15838437,0.074828275
"Authentic Cumin Seeds - Poor packaging, spices lost aroma.",[],-0.6597,0,0.33639795,-0.5069426
Coriander Powder - Bland and lacking punch.,[],0.0,1,-0.1953367,0.13859908
"Organic Turmeric Powder - Lacked freshness, flavor felt flat.",[],0.0,1,-0.3241262,-0.05512547
"Premium Garam Masala Blend - Too mild, almost no aroma.",[],-0.228,1,0.42603412,0.43714604
Pure Red Chilli Powder - Tasteless and stale-smelling.,[],0.0,1,-0.21019162,0.046278138
"Authentic Cumin Seeds - Overly coarse grind, not pleasant.",[],-0.4023,0,0.3757272,-0.39349338
Coriander Powder - Weak color and dull taste.,[],-0.6808,1,-0.28893906,0.08639696
Organic Turmeric Powder - A bit dusty and uneven quality.,[],0.0,1,-0.4492559,-0.058715086
"Premium Garam Masala Blend - Strange aftertaste, won’t buy again.",[],-0.2023,1,0.44318858,0.38116205
Pure Red Chilli Powder - Color faded too quickly in cooking.,[],0.0,1,-0.22041509,0.01879636
"Authentic Cumin Seeds - Unpleasant aftertaste, maybe old stock.",[],-0.4767,0,0.34433407,-0.4884269
"Coriander Powder - Clumpy texture, seems moisture-affected.",[],0.0,1,-0.22092651,0.058549453
"Organic Turmeric Powder - Bitter undertone, unusual taste.",[],-0.4215,1,-0.3636464,-0.07963529
"Premium Garam Masala Blend - Imbalanced flavors, cardamom overpowers.",[],0.0,1,0.4466282,0.3443414
"Pure Red Chilli Powder - Aroma missing, feels like low-grade.",[],0.0772,1,-0.15600552,0.06070373
"Authentic Cumin Seeds - Lacked aroma, disappointing quality.",[],-0.4939,0,0.41490167,-0.46084243
"Coriander Powder - Dull flavor, needed double quantity.",[],-0.4019,1,-0.23161647,0.10104978
"Organic Turmeric Powder - Off smell, not fresh at all.",[],-0.2411,1,-0.34479555,-0.14865837
"Premium Garam Masala Blend - Spices tasted flat, no depth.",[],-0.296,1,0.3816668,0.3981165
"Pure Red Chilli Powder - Gritty texture, unpleasant mouthfeel.",[],-0.4767,1,-0.14697097,0.12308357
"Authentic Cumin Seeds - Burnt taste, unsuitable for delicate dishes.",[],0.0516,0,0.32208446,-0.4817721
"Coriander Powder - Lifeless aroma, almost no taste.",[],-0.228,1,-0.15911318,0.05186292
"Organic Turmeric Powder - Weak flavor, color slightly artificial-looking.",[],-0.4404,1,-0.4014211,-0.08388346
"Premium Garam Masala Blend - Harsh spice balance, unpleasant bite.",[],-0.7184,1,0.3747359,0.43639702
Pure Red Chilli Powder - Lacks heat despite bright color.,[],-0.3412,1,-0.2596174,0.09137467
"Authentic Cumin Seeds - Hard and dry, doesn’t toast well.",[],0.1779,0,0.37061852,-0.45216182
"Coriander Powder - Old batch, flavor completely faded.",[],0.0,1,-0.1830241,0.027169606
"Organic Turmeric Powder - Too fine, clumps badly in cooking.",[],-0.3182,1,-0.36510918,-0.077951364
"Premium Garam Masala Blend - Overpowering cinnamon, not well balanced.",[],-0.2057,1,0.37304386,0.4865231
"Pure Red Chilli Powder - Strange earthy smell, not fresh.",[],-0.4141,1,-0.26048887,0.0111315185
"Authentic Cumin Seeds - Very pale, missing the usual punch.",[],-0.3566,0,0.3231403,-0.46222717
"Coriander Powder - Texture sandy, lacks smoothness.",[],0.0,1,-0.1681994,0.15038104
"Organic Turmeric Powder - Off taste, possibly rancid.",[],-0.5423,1,-0.38995624,-0.0782621
"Premium Garam Masala Blend - Weak aroma, flat taste.",[],-0.4404,1,0.4146517,0.427506
"Pure Red Chilli Powder - Harsh bitterness, unpleasant aftertaste.",[],-0.8271,1,-0.17570424,0.042715967
"Authentic Cumin Seeds - Musty aroma, likely old stock.",[],0.0,0,0.34710732,-0.47204193
Coriander Powder - Color too dull for fresh coriander.,[],-0.1027,1,-0.30873033,0.10768474
"Organic Turmeric Powder - Packaging was damaged, lost aroma.",[],-0.6369,1,-0.3182548,-0.13247956
"Premium Garam Masala Blend - Extremely bland, no distinct spice notes.",[],-0.3566,1,0.40563774,0.48233202
"Pure Red Chilli Powder - Taste flat, no chili heat.",[],-0.296,1,-0.20396619,0.10128435
"Authentic Cumin Seeds - Seeds shriveled, likely poor harvest.",[],-0.4767,0,0.39305753,-0.57400924
Coriander Powder - Clumpy and uneven grind.,[],0.0,1,-0.15606922,0.10633184
"Organic Turmeric Powder - Very muted aroma, fades when cooked.",[],0.0,1,-0.3508017,-0.087305285
"Premium Garam Masala Blend - Too heavy on cloves, unbalanced.",[],0.0,1,0.41358018,0.44547018
